Name,Description,Price (USD),Unit amount (cents),Currency,Lookup key (SKU),Collection,Fabric,Sizes,Availability,Image URL
"Adaeze Wrap Gown","A wrap gown with a deep V neckline and a skirt cut to move. The waist ties to your shape; the hem falls just below the knee.",75,7500,usd,"adaeze-wrap-gown","women","kente","XS | S | M | L | XL","in-stock","https://afrinoble.netlify.app/media/look-07.jpg"
"Obi Tailored Coat","A structured coat with sharp lapels and a clean tapered line, cut close through the shoulder and easy through the body.",80,8000,usd,"obi-tailored-coat","men","aso-oke","46 | 48 | 50 | 52 | 54","in-stock","https://afrinoble.netlify.app/media/look-06.jpg"
"Nia Ceremonial Set","A ceremonial two-piece of woven cloth, finished with hand-rolled edges — made to be photographed and kept.",120,12000,usd,"nia-ceremonial-set","wedding","aso-oke","XS | S | M | L | XL","made-to-order","https://afrinoble.netlify.app/media/look-30.jpg"
"Kwame Two-Piece","A relaxed two-piece: boxy shirt, drawstring trouser, one continuous pattern across both.",80,8000,usd,"kwame-two-piece","men","kente","46 | 48 | 50 | 52","in-stock","https://afrinoble.netlify.app/media/look-08.jpg"
"Amara Silk Blouse","A fluid blouse with covered buttons and a soft point collar, light enough to forget.",75,7500,usd,"amara-silk-blouse","women","adinkra","XS | S | M | L","low-stock","https://afrinoble.netlify.app/media/look-11.jpg"
"Zola Column Dress","A floor-length column with a high neck and a controlled side slit — spare, graphic, unhurried.",75,7500,usd,"zola-column-dress","limited-edition","bogolan","XS | S | M | L","low-stock","https://afrinoble.netlify.app/media/look-03.jpg"
"Sena Woven Clutch","A structured clutch faced in handwoven cloth over a rigid shell, with a magnetic closure and cotton lining.",380,38000,usd,"sena-woven-clutch","accessories","kente","One Size","in-stock","https://afrinoble.netlify.app/media/look-01.jpg"
"Tobi Silk Scarf","A generous silk square with hand-finished edges, printed in a saturated wax-print motif.",240,24000,usd,"tobi-silk-scarf","accessories","ankara","One Size","in-stock","https://afrinoble.netlify.app/media/look-07.jpg"
"Folasade Evening Caftan","A floor-sweeping caftan with bell sleeves and a beaded neckline, cut generously and finished light.",75,7500,usd,"folasade-evening-caftan","women","kitenge","XS | S | M | L | XL","in-stock","https://afrinoble.netlify.app/media/look-04.jpg"
"Ekon Formal Agbada","A full formal agbada: flowing outer robe, inner tunic and tailored trouser, with embroidery at the neckline.",120,12000,usd,"ekon-formal-agbada","wedding","aso-oke","46 | 48 | 50 | 52 | 54","made-to-order","https://afrinoble.netlify.app/media/look-05.jpg"
"Chidinma Mini Dress","A sharp mini with a structured bodice and A-line skirt — youthful, graphic, precise.",75,7500,usd,"chidinma-mini-dress","limited-edition","adinkra","XS | S | M","low-stock","https://afrinoble.netlify.app/media/look-11.jpg"
"Malik Linen Shirt","A relaxed linen shirt with a camp collar and a mud-cloth inspired placket detail.",80,8000,usd,"malik-linen-shirt","men","bogolan","S | M | L | XL | XXL","in-stock","https://afrinoble.netlify.app/media/look-32.jpg"
"Tunde Agbada Set","A crisp white three-piece set with a teal corded-embroidery neckline, side pockets and a matching tailored trouser.",80,8000,usd,"tunde-agbada-set","men","brocade","46 | 48 | 50 | 52 | 54","in-stock","https://afrinoble.netlify.app/media/look-37.jpg"
"Sefa Kaftan Set","A seafoam kaftan set with a mandarin collar and a pleated multi-stripe placket that curves into the chest, over a matching trouser.",80,8000,usd,"sefa-kaftan-set","men","brocade","46 | 48 | 50 | 52 | 54","in-stock","https://afrinoble.netlify.app/media/look-38.jpg"
"Adom Agbada Set","A sage set with bold green-and-cream corded embroidery circling the neckline and running to a medallion at the chest.",80,8000,usd,"adom-agbada-set","men","brocade","46 | 48 | 50 | 52 | 54","in-stock","https://afrinoble.netlify.app/media/look-35.jpg"
"Odum Senator Set","A tan micro-suede senator set with a graphic three-wolf chest print and half sleeves, over a slim matching trouser.",80,8000,usd,"odum-senator-set","men","brocade","46 | 48 | 50 | 52 | 54","in-stock","https://afrinoble.netlify.app/media/look-36.jpg"
"Kwabena Medallion Set","A charcoal kaftan set with three descending gold medallions embroidered down the chest and a bar-detail neckline.",80,8000,usd,"kwabena-medallion-set","men","brocade","46 | 48 | 50 | 52 | 54","in-stock","https://afrinoble.netlify.app/media/look-39.jpg"
